,Country,Literacy_Rate,Buddhists,Christians,Folk_Religions,Hindus,Jews,Muslims,Other_Religions,Unaffiliated,alcohol_rate_2000,alcohol_rate_2005,alcohol_rate_2010,alcohol_rate_2015,pg_2000,pg_2005,pg_2010,pg_2015,gdp_2000,gpd_2005,gpd_2010,gpd_2015,gdp_per_capita_2000,gdp_per_capita_2005,gdp_per_capita_2010,gdp_per_capita_2015,mortality_rate_2000,mortality_rate_2005,mortality_rate_2010,mortality_rate_2015,Longitude,Latitude,mortality_rate,mortality_state
63,Israel,97.1,1.0,2.0,1.0,1.0,75.6,18.6,1.0,3.1,3.08,2.7,3.12,3.86,2.64,1.76,1.83,1.98,132455662080.3,142657069099.98,234654589559.97,300078278118.43,21061.48,20585.14,30780.02,35808.44,80.02,72.49,59.69,57.66,34.8594762,30.8124247,5.77,1
64,Italy,99.0,1.0,83.3,1.0,1.0,1.0,3.7,1.0,12.4,10.37,9.41,7.34,7.59,0.05,0.49,0.31,-0.1,1146676894209.73,1858217147203.73,2136099955236.67,1836637711060.55,20137.59,32055.09,36035.64,30242.39,75.39,65.05,57.76,54.86,12.674297,42.6384261,5.49,1
65,Jamaica,87.0,1.0,77.2,4.5,1.0,1.0,1.0,1.0,17.2,4.91,4.43,4.38,4.19,0.83,0.55,0.52,0.55,9005064474.93,11243868485.74,13220556882.7,14188935947.57,3392.12,4103.6,4704.05,4907.93,173.4,163.9,139.2,132.6,-77.3947693,18.1850507,13.26,2
66,Japan,99.0,36.2,1.6,1.0,1.0,1.0,1.0,4.7,57.0,8.23,7.99,7.2,7.87,0.17,0.01,0.02,-0.11,4968359075956.59,4831467035389.8,5759071769013.11,4444930651964.18,39169.36,37812.9,44968.16,34960.64,72.14,67.52,61.36,52.57,139.2394179,36.5748441,5.26,1
67,Jordan,95.9,1.0,2.2,1.0,1.0,1.0,97.2,1.0,1.0,0.62,0.66,0.64,0.69,1.79,3.27,5.2,3.82,8460424400.56,12588665303.24,27133804225.35,38587017887.32,1651.62,2183.39,3736.65,4164.11,133.2,126.7,116.4,111.5,36.941628,31.1667049,11.15,2
68,Kazakhstan,99.7,1.0,24.7,1.0,1.0,1.0,70.4,1.0,4.2,8.18,9.33,4.97,4.66,-0.3,0.89,1.41,1.46,18291994909.0,57123671733.9,148047348240.64,184388432148.72,1229.0,3771.28,9070.49,10510.77,287.4,296.6,242.8,192.5,66.7780818,48.1012954,19.25,2
69,Kenya,87.4,1.0,84.8,1.7,1.0,1.0,9.7,1.2,2.5,3.83,3.01,3.29,2.77,2.75,2.74,2.72,2.49,12705357103.01,18737897744.79,45405587556.73,70120413328.78,397.48,511.62,1080.3,1464.55,458.1,437.7,285.3,231.7,38.4313975,1.4419683,23.17,3
70,Kuwait,93.9,2.8,14.3,1.0,8.5,1.0,74.1,1.0,1.0,0.04,0.02,0.03,0.0,4.68,3.12,5.88,3.84,37712842242.5,80798630136.99,115419399860.43,114567298105.68,18440.38,35591.04,38577.5,29869.55,93.57,87.94,84.09,80.47,47.4979476,29.2733964,8.05,1
71,Latvia,99.8,1.0,55.8,1.0,1.0,1.0,1.0,1.0,43.8,8.76,11.96,11.63,12.64,-0.96,-1.08,-2.08,-0.82,7958852838.93,17003459863.1,23956163076.56,27263090547.06,3361.64,7594.9,11420.99,13786.46,217.2,219.5,178.3,154.3,24.7537645,56.8406494,15.43,2
72,Lebanon,89.6,1.0,38.3,1.0,1.0,1.0,61.3,1.0,1.0,2.96,2.31,1.94,1.65,2.5,2.79,2.87,4.25,17260364842.45,21497336498.97,38443907042.32,49929337837.08,4491.64,4575.11,7761.64,7643.01,113.8,103.3,95.31,98.44,35.843409,33.8750629,9.84,1
